"","x"
"1",-0.00574456798706372
"2",-0.0178482715153226
"3",0.012687332651675
"4",-0.00602860136349043
"5",0.00108231022685751
"6",-0.00665413102649582
"7",-0.00125862304811813
"8",0.0023755599512053
"9",0.00125906964780828
"10",0.0156277417838535
"11",-0.0159625474653236
"12",0.0149588095498567
"13",0.00622162433290501
"14",-0.00998749629018415
"15",-0.00586797442877472
"16",-0.00763729034370056
"17",0.0251158672445965
"18",0.0234619128161081
"19",-0.007214354591038
"20",-0.0185863701453544
"21",0.0136612616920524
"22",-0.678520592421143
"23",0.678520592421143
"24",-0.00709642835613771
"25",0.00557870545567837
"26",-0.00236305280097204
"27",0.0154096797593737
"28",0.00798597269615723
"29",0.0360572396279522
"30",0.00801244761236638
"31",-0.00602860136349043
"32",0.00297052965003818
"33",0.00557555929344076
"34",-0.015595066233637
"35",0.012687332651675
"36",-0.000769691283115772
"37",-0.0120370604836713
"38",-0.011555779018715
"39",-0.00125862304811813
"40",-0.00665413102649582
"41",0.0023755599512053
"42",0.00108231022685751
"43",0.0225304965500206
"44",-0.00911392486530003
"45",0.0326421218098913
"46",0.00205952098616397
"47",0.00767876826135273
"48",-0.0305859606634664
"49",-0.024331043123913
"50",-0.0217926430475827
"51",-0.0176004746240135
"52",0.0041362354064555
"53",0.222829467616599
"54",-0.222829467616599
"55",0.00712315244927788
"56",-0.174879856959912
"57",-0.000413895068839683
"58",-0.183627485525461
"59",-0.175081243391495
"60",-0.0532997947684509
"61",-0.0671101302240751
"62",-0.096837653858071
"63",0.744126907347027
"64",0.154581010184374
"65",-0.0753821107406284
"66",0.0753821107406283
"67",0.0647007645972748
"68",-0.00901949833030741
"69",-0.00116588075510867
"70",-0.0114295019208491
"71",-0.0765564966819771
"72",0.0334706130909674
"73",0.00199503222253511
"74",-0.00414195456561151
"75",0.000842909040912974
"76",0.00158612185871701
"77",-0.000282108556553497
"78",0.020833552728589
"79",0.110650840740396
"80",-0.100352928239964
"81",-0.0157958977616883
"82",0.0156199747533345
"83",-0.0764644818400583
"84",0.0221497009264239
"85",0.0233592386929673
"86",0.0254680163096241
"87",0.273351257877233
"88",-0.100352928239964
